"Nome Urna			Partido"
"ABADIA SANTAREM 			REDE"
"ABEL DUARTE			PHS"
"ADELMO PAPAI SMURF			PRP"
"ADHARA CAMPOS			PV"
"ADIBE MECANICO			PV"
"ADILSON NUNES			REDE"
"ADOLPHO FUICA			REDE"
"ADRIANA GLORIA			AVANTE"
"ADRIANA LOURENÇO			PROS"
"ADRIANO ARAÚJO			SOLIDARIEDADE"
"ADRIANO AZEVEDO			PTC"
"ADRIANO MARROCOS			PSD"
"AGACIEL MAIA			PR"
"AGENILDO NERI			PRB"
"AGNALDO ROMEIRO			PPS"
"AILTON MIRANDA			PTC"
"AIRAM			PTB"
"AKILLA MARINHO			AVANTE"
"ALDEMIO OGLIARI			PT"
"ALDEMIR DOMICIO			PC do B"
"ALDOVRANDO TORRES			PPS"
"ALESSANDRA GOMES			PMN"
"ALESSANDRO PAIVA			PSB"
"ALEXANDRE MORAIS			PATRI"
"ALEXANDRE TOTA			PRB"
"ALEXANDRE YANEZ			PP"
"ALEX NEVES			PTB"
"ALEX RIBEIRO			PSL"
"ALFREDO JUNIOR			AVANTE"
"ALINE			DEM"
"ALINE CABRAL			PSL"
"ALINNE MARQUES			PPL"
"ALLAN FREIRE			NOVO"
"ALLISSON RENOVAÇÃO			PT"
"ALMACHIO ROCHA			PSL"
"ALTINO TORNEIRO			PSD"
"ALZIRA FOLHA			PSB"
"AMAZONICA BRASIL			PROS"
"AMILTON SILVA			PSL"
"ANA CRISTINA DO POR DO SOL			PTB"
"ANA LUIZA			PRB"
"ANA MARIA			PP"
"ANA PAULA GUEDES			PRB"
"ANA ROSA			REDE"
"ANA SALES			PRB"
"ANCHIETA JR			PTC"
"ANDERSON FABRICIO			PR"
"ANDERSON FONSECA			PSD"
"ANDERSON LOPES			PATRI"
"ANDERSON MANTEIGA			PR"
"ANDERSON MEDINA			PP"
"ANDERSON SANTOS			PRP"
"ANDERSON SENTO			PR"
"ANDREA BORGES			PRTB"
"ANDREA MENDES			PV"
"ANDREA QUADROS			NOVO"
"ANDRÉ BRANDÃO			PODE"
"ANDRÉ CORUJA			PDT"
"ANDREIA BANDEIRA			PPL"
"ANDRE KALLAGRI			PMN"
"ANDRÉ LIMA			REDE"
"ANDRÉ LUIZ			MDB"
"ANDRÉ MARTINS 			PPS"
"ANDRE MATTAR			PR"
"ANDRÉ QUEIROZ			PMN"
"ANDRÉ SILVA			PSC"
"ANDYARA			PPS"
"ANGELA AUGUSTO			PSC"
"ANGELA TEIXEIRA			AVANTE"
"ANINHA			PSB"
"ANINHA DA AUTOESCOLA			PDT"
"ANTÔNIO CARLOS			PODE"
"ANTONIO CRISPIM			PR"
"ANTONIO DA FEIRA			PROS"
"ANTONIO DO LIVRO			PROS"
"ANTONIO DO TAXI			PRTB"
"ANTÔNIO FISCAL			SOLIDARIEDADE"
"ANTÔNIO MARQUES			PCO"
"ANTONIO MENDES			PODE"
"ARAGÃO			PSD"
"ARGENTINO SOUTO			PROS"
"ARI SUSHI			PTB"
"ARLETE SAMPAIO			PT"
"ARTHUR CARDOSO			AVANTE"
"ASSIS DA SAÚDE			PMB"
"ASSIS FERNANDES			PSDB"
"ATAILDES OLIVEIRA			PP"
"AUDITOR PAULO MARTINS			AVANTE"
"AURINDO SILVA			DEM"
"AZAMBUJA			REDE"
"BABY FACE			PSC"
"BAIANO TEM			PSC"
"BALAGÃO			MDB"
"BALTAZAR			REDE"
"BARBARA ANJOS			PROS"
"BA SALAZAR			PR"
"BATISTA NETO			PTB"
"BEBÉ SANTANA			PPS"
"BEBETO DA COMUNIDADE			PSB"
"BELLO PILÃO DE OURO			PSC"
"BENA DOMINGOS			PTC"
"BENÉ ADELINO			PDT"
"BENEDITO DA VOZINHA			PATRI"
"BENEDITO GALVAO			PR"
"BERNARDETH MARTINS			PP"
"BERNARDO WERNIK			MDB"
"BETE GUILHERME			MDB"
"BETH CARDOSO			PR"
"BETH RIBEIRO			NOVO"
"BETH SCOFIELD			PR"
"BETO RIBEIRO			PPL"
"BIANCHINI			PRTB"
"BILL			PROS"
"BILL SAÚDE			AVANTE"
"BINO ARCANJO			PHS"
"BISMARCK UBER, CABIFY E 99			AVANTE"
"BISPO RENATO ANDRADE			PR"
"BITO RAMOS			PTC"
"BOCAIÚVA			MDB"
"BOLIVAR ROCHA			AVANTE"
"BRUNA AUGUSTO			PMN"
"BRUNA DE SOUZA			MDB"
"BRUNELLI			MDB"
"BRUNO CAPELLI			PMB"
"CACÁ SILVA			PRP"
"CAIO CÉSAR			PRP"
"CAIXETA			NOVO"
"CAMARGO			AVANTE"
"CAPISTRANO			PHS"
"CARINA SALES			PP"
"CARLÃO			PSOL"
"CARLOS DALVAN			PP"
"CARLOS INACIO			REDE"
"CARLOS MARTINS			PPL"
"CARLOS PENNA			PDT"
"CARLOS PONTES			PDT"
"CARLOS SANCHA			PRP"
"CARMEM DE OLIVEIRA			PSOL"
"CAROL DOS ANIMAIS			AVANTE"
"CAROLINE RIBEIRO			PHS"
"CAROL LIMA			PTC"
"CÁSSIO EDUARDO			PSOL"
"CASTELO			PTB"
"CELIA REGINA			PHS"
"CELIO MARRUÁ			PTC"
"CELSO RIBEIRO			PSOL"
"CESAR RAMOS			PTB"
"CESAR SANTANA			REDE"
"CESINHA DA ACESSIBILIDADE			PDT"
"CEZAR 			PROS"
"CHARLES DO GÁSMYT			PRP"
"CHARLES JATOBA			PTB"
"CHICO BOMBEIRO			SOLIDARIEDADE"
"CHICO VIGILANTE			PT"
"CHIQUINHO			PHS"
"CHIQUINHO DE SAMAMBAIA			PC do B"
"CHOCOLATE BOTAFOGO			PODE"
"CHRIS QUINTILIANO			PPS"
"CHRISTIANA INOCENCIO			PSC"
"CHRISTIAN TADEU			MDB"
"CIDA SILVA			PATRI"
"CIDINHA ROCHA			PPL"
"CIDINHA SANTOS			PDT"
"CIGANA LUCY 			PODE"
"CIVALDO REBOUÇAS			PSC"
"CLAIRTON MANGA ROSA			PPL"
"CLAUDECI LUART			PODE"
"CLAUDETE			PP"
"CLÁUDIA VILHENA			NOVO"
"CLÁUDIO ABRANTES			PDT"
"CLÁUDIO BARRA			NOVO"
"CLAUDIO BENTO			PP"
"CLAUDIO PERIFERIA			PV"
"CLÁUDIO SAMPAIO			PRP"
"CLEBSON CARVALHO			PSB"
"CLEISON DUVAL			PSDB"
"CODÓZÃO			PSOL"
"COMANDANTE  ANTONY			NOVO"
"CONCEIÇÃO MARIA			PR"
"CORONEL JEAN			PP"
"CORONEL REGINA			PRP"
"CORONEL SOUTO			NOVO"
"CORREA LEÃO DE JUDÁ			AVANTE"
"COUBERT BRAZ			PATRI"
"CRIS DA SAUDE			PR"
"CRISTIA LIMA			AVANTE"
"CRISTIANE DIAS			PRP"
"CRISTIANO ARAÚJO			PSD"
"CRISTIANO SEVERO			REDE"
"CRISTIANO TORRES			PHS"
"CRISTINI VASCONCELOS			PTB"
"DAIANE CIGANA			PDT"
"DAIANNE COUTO			PRP"
"DANI ALVES			MDB"
"DANIEL DONIZET			PRP"
"DANIEL GINO			PP"
"DANIEL GONÇALVES			MDB"
"DANIELLE BARRETO			REDE"
"DANIELLE LEITE			PMB"
"DANIEL LEMOS			PSC"
"DANIEL MARTINEZ			PDT"
"DANIEL MATOS			PP"
"DANIEL RADAR			PPS"
"DANIEL REIS			PP"
"DANY DO PV			PV"
"DARCY LUIZ			PT"
"DAVI TAVARES			PHS"
"DEBORA SANTOS			PTB"
"DEDÉ			DEM"
"DEDÉ RORIZ			PHS"
"DELEGADO FERNANDO FERNANDES			PROS"
"DELEGADO MARIO GOMES			PHS"
"DELEGADO MAURO CEZAR			AVANTE"
"DELEGADO PABLO AGUIAR			PTB"
"DELMASSO			PRB"
"DENILSON DO GAS			PTB"
"DEPUTADO MÃE			PSDB"
"DERSON RACING			PRB"
"DETE			PROS"
"DEUNENE PIERRE			PR"
"DEUSA CAPUCHINHO			PODE"
"DEUSDETE			PPL"
"DI CARDOSO			PMN"
"DIEGO AMORIM			PPS"
"DIEGO ARRUDA			PSDB"
"DIL(DILMANOEL)			PDT"
"DILSON ROSA			PODE"
"DIONES ALMEIDA			MDB"
"DIRSOMAR			PSD"
"DIVINA SILVA			MDB"
"DIVINO DOS PANFLETOS			PSC"
"DJAVAN			DEM"
"DJ JAMAIKA			PTC"
"DORINHA DO MAS			PHS"
"DORNELLAS			PP"
"DRA. ADRIANA PEDERNEIRAS			PRB"
"DRA. ERIDAN STEFANELLI			PV"
"DRA. JANE			AVANTE"
"DRA. JÔ			PDT"
"DR. ANTONIO MONTEIRO			PSDB"
"DRA. QUITÉRIA			MDB"
"DRA. ROMILDA			PATRI"
"DR. CARLOS			AVANTE"
"DR. DIEGO WANDERLEY			NOVO"
"DR. EDUARDO MOREIRA			PMB"
"DR GUTEMBERG			PR"
"DR. JAIR			MDB"
"DR. JOAO PAULO 			PSC"
"DR. JORGE ARAÚJO			SOLIDARIEDADE"
"DR. MESSIAS FROES			PHS"
"DR. MORAES			PHS"
"DR PROF CABO J NUNES			PR"
"DR. ROBERTO LUCENA			AVANTE"
"DR. SANTIAGO			PT"
"DR SAULO			PSL"
"DR ULYSSES			PP"
"DRª MARIA RITA			NOVO"
"DUDA MARIA			PMB"
"DULCE LIM			PRTB"
"DYENE SILVA			REDE"
"DY NOBRE DOS OFICINEIROS			MDB"
"É DANIEL E PRONTO			PPS"
"EDENUDES DE CASSIA			PSC"
"EDILSON			PR"
"EDIVALDO ALBUQUERQUE 			MDB"
"EDLEUZA PAIVA			PP"
"EDNA ÁVILA			PSB"
"EDSON			PSTU"
"EDSON RABELLO			PTB"
"EDSON SOL NASCENTE			MDB"
"EDUARDO COELHO			PATRI"
"EDUARDO FAVARO			PSD"
"EDUARDO LEAL			SOLIDARIEDADE"
"EDUARDO LYON			PHS"
"EDUARDO MITSUO YODA			NOVO"
"EDUARDO PEDROSA			PTC"
"EDUARDO TORRES			PRP"
"EDUARDO VON			PSC"
"EDUCADOR CARLOS			PSOL"
"ELAYNE TIAGO			PSDB"
"ELEM SIMONE			PSOL"
"ELIANA EMERICK			PR"
"ELIANE ARCENIO			PP"
"ELICLEUDA			PTB"
"ELIEL MENDES			PROS"
"ELINE LEMOS			PDT"
"ELIS			PODE"
"ELISAFÁ AMORIM			PRTB"
"ELIZABETE DO RÊGO			MDB"
"ELIZABETE QUEIROZ			PTB"
"ELVIS SEITI			NOVO"
"EMERSON OLIVEIRA			PDT"
"EMERSON VIDAL			PR"
"EMÍLIA STENZEL			PV"
"EMILSON RIBEIRO			PATRI"
"ENFERMEIRO JOSIAS JUNIOR			PATRI"
"ENGENHEIRO FRANCISCO			SOLIDARIEDADE"
"ENGENHEIRO URUBATAN			MDB"
"ENILDE NERES 			REDE"
"ENIO MARÇAL			MDB"
"EPITÁCIO JÚNIOR			PPS"
"ERICH			PSL"
"ERICKA FILIPPELLI			MDB"
"ERICO GRASSI			PT"
"ERIKA BERBERT			NOVO"
"ERIVALDO ALVES			PPL"
"ERNESTO GOLD			PTB"
"ESTEVÃO ROLIM			REDE"
"EUCLIDES FILHO DE PIONEIRO			PC do B"
"EUCLIDES PAPIROS			PPS"
"EUSA DE ASSIS			MDB"
"EVALDO AMORIM			PRP"
"EVANDO MENESES			PP"
"EVANDRO ARAUJO			PRP"
"EVANDRO PEREIRA			PRB"
"EXPEDITO MENDONÇA			PCO"
"EZEQUIAS PEREIRA			PSC"
"FABIANA LACERDA			PP"
"FABIANO LAGO			PR"
"FÁBIO ABARKA			REDE"
"FÁBIO FELIX			PSOL"
"FABIO KBÇA			PROS"
"FALA ERISVALDO			PR"
"FARIAS DO BODE			PMB"
"FÁTIMA AZEREDO			MDB"
"FÁTIMA TANAKA			PRP"
"FATINHA			PSD"
"FERNANDO GOMIDE			PPS"
"FERNANDO MOURA			REDE"
"FERNANDO REIS			PR"
"FERNANDO SERVO			PSC"
"FERNANDO VARGUES			PCO"
"FERNANDO VASCONCELOS			MDB"
"FILIPE BALBINO			PHS"
"FILIPE COSTA			PTB"
"FLAVIA REIS			PMB"
"FLAVINHA DO POVO			PTC"
"FLAVIO ALENCASTRO			PSDB"
"FLÁVIO CARDOSO			AVANTE"
"FLORÊNCIO DO QUEIJO			PMN"
"FLORINDA SAMONTES			PHS"
"FORLANGOV			PROS"
"FRANCISCA CÔRTE			PDT"
"FRANCISCO COKIM			MDB"
"FRANCISCO COSTA			PTB"
"FRANCISCO DA M NORTE			PT"
"FRANCISCO MOLINA			PRP"
"FRAZÃO			NOVO"
"FRED			PROS"
"GABI DA JUVENTUDE			AVANTE"
"GABRIEL ASSIS			PATRI"
"GABRIEL ROCHA			PHS"
"GALEGA DO PASTEL			PTB"
"GALEGA DO SHOPPING POPULAR			PMN"
"GALEGO DA LIMPEZA			PTB"
"GARCIA			PTB"
"GEISA SILVA			PSL"
"GEISIMAR MORRO DA CRUZ			PSC"
"GENILDO VIGILANTE			PSB"
"GEORGE ARTHUR 			PRB"
"GEORGIA QUARTIN			AVANTE"
"GERA DE CASTRO			NOVO"
"GERALDO NASCIMENTO			PP"
"GEUSA			NOVO"
"GILBERTO CAMARGOS			PROS"
"GILSON ARAUJO			PODE"
"GILVANE DE CASTRO			MDB"
"GILVAN GARÇOM			SOLIDARIEDADE"
"GIORDADA DO VALE			PPS"
"GIOVANI CORRADI			PTB"
"GISELE 			PSL"
"GIZELE RIBEIRO			PTB"
"GLAUCIA SIMÕES 			PP"
"GLENO ROSSI			PROS"
"GORDINHO DA FARMÁCIA			AVANTE"
"GRAÇA NUNES			PSD"
"GUALTER VIEIRA			PATRI"
"GUANABARA			PT"
"GUARDA JANIO			PROS"
"GUILHERME DA HORA			PC do B"
"GURGEL			PMN"
"GUSTAVO LABAREDA			PRP"
"GUSTAVO MIRANDA			PSC"
"GUTO BELLO			REDE"
"HALINE ARAGÃO			REDE"
"HAMSES GOMES			PTC"
"HEITOR DO HOSPITAL			PP"
"HELDER CAMPANATE			PROS"
"HÉLIO LIMA			PMB"
"HELLEN FRIDA			PT"
"HELTON MACIEL			PATRI"
"HELTON MARQUES O PATRIOTA			PATRI"
"HENRIQUE FRANÇA			PSB"
"HENRIQUE NELSON RODOVIARIO			PSC"
"HENRIQUE PASSOS			PSC"
"HERMETO			PHS"
"HUDSON QUINTANA			PV"
"HUMBERTO ALENCAR 			NOVO"
"HUMBERTO JOSE CARDOSO 			PR"
"IANE			PSC"
"IARA			PSC"
"IGOR BISPO			PSC"
"IGOR TOKARSKI			PSB"
"ILKA TEODORO			PSOL"
"INDIA			PR"
"INDIO CARROCEIRO			PRTB"
"INDIO SOBERANA			PTB"
"INES DIAS			PR"
"IOLANDO			PSC"
"IRANY GOMES			PP"
"IRENE			DC"
"IRIS			PRB"
"IRMÃO GLÓRIA A DEUS			PSDB"
"ISAIAS			PSB"
"ISAIAS FILHO			PPS"
"ISAIAS LEÃO			PSD"
"ISAURA BARBOSA			AVANTE"
"IVAMAR JUNIOR			PR"
"IVANA GUIMARÃES			PSL"
"IVANI FERREIRA			DC"
"IVAN JOSÉ			PTC"
"IVAN SOARES			PSL"
"IVONE LOPES			PROS"
"IVONE LUZARDO			PTB"
"JABÁ			PTC"
"JAILSON SANTOS			PPL"
"JAILTON VIGILANTE			PP"
"JAJA JAILTON			NOVO"
"JAMAIKA AMBIENTALISTA			PHS"
"JANAINA PENTEADO			PSOL"
"JANDERLENE NOGUEIRA			PROS"
"JÂNIO ALVES			PC do B"
"JAQUELINE SILVA			PTB"
"JARO BRINY			PSOL"
"J BATISTA			PRP"
"JEFFERSON MOREIRA			NOVO"
"JEFF MOTTA			PC do B"
"JERFFESON CASTRO			PROS"
"JESUS COBRADORA			PC do B"
"JOANA D'ARC (PORTO RICO)			PROS"
"JOANA MACHADO			PHS"
"JOÃO ARRAIS			PDT"
"JOÃO BARÃO			PP"
"JOAO BATISTA			PR"
"JOAO CARDOSO PROFESSOR-AUDITOR			AVANTE"
"JOÃO CARLOS CORRÊA			PPS"
"JOÃO DE DEUS			PR"
"JOÃO DITO			PRB"
"JOÃO FRANCISCO			REDE"
"JOAO HENRIQUE			PPL"
"JOAO LUCIO			PROS"
"JOAO MASCARENHAS			PR"
"JOAO PESCOCINHO			PTB"
"JOÃO SALAS			PRP"
"JOAQUIM VITOR			PDT"
"JOCELIA ALBURQUERQUE			PSC"
"JOECI			PHS"
"JONAS LESSA			PODE"
"JORGE BAIANO			PMB"
"JORGE MARQUES			PSL"
"JORGE SILVA			PV"
"JORGE VIANNA			PODE"
"JOSE ARAUJO			PP"
"JOSÉ AUGUSTO CAPILÉ			REDE"
"JOSÉ GOMES			PSB"
"JOSÉ GUEDES			PSC"
"JOSE LUCIO			PHS"
"JOSENI MYLLA			PODE"
"JOSE REIS			PPL"
"JOSÉ RIBEIRO			MDB"
"JOSÉ SANTARÉM			PSB"
"JÔ SILVA			PSC"
"JOSMAILTON			PT"
"JUAN RICTHELLY			PSOL"
"JUAREZÃO			PSB"
"JUAREZ PAULINO			PT"
"JU FLOR			PTC"
"JÚLIA LUCY			NOVO"
"JULIANA DE FREITAS			PSOL"
"JULIMAR PRODUTOR			PSC"
"JÚLIO CÉSAR DELEGADO			PSB"
"JULIO CESAR JAPA			PROS"
"JULIO CEZAR			PP"
"JULIO LANCHONETE			PSC"
"JUNIOR ALMEIDA			PSDB"
"JUNIOR ESTEVES			PRP"
"JUNIOR GARI			PV"
"JURACY MARQUES			PSOL"
"JUSTO MAGALHÃES			REDE"
"JUVENIL ALVES			PR"
"KADIJA			MDB"
"KADU GOMES			NOVO"
"KAIO TEIXEIRA			PATRI"
"KALEBE			DC"
"KALEY BLADIMIR			PHS"
"KARINE MOREIRA			PP"
"KELLY BOLSONARO			PRP"
